

[2020-11-04 20:55:02] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:55:18] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:55:38] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:56:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:56:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:56:43] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:57:01] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:57:35] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:58:05] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:58:31] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:59:00] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:59:07] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:59:30] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 20:59:32] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:00:47] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:00:56] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:01:28] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:01:45] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:01:51] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:02:10] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:02:52] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:02:53] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:03:03] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:03:42] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:03:49] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2020-11-04 21:04:13] [AppID 221100] CAPIJobStoreUserStats::BInit() - no stats found, aborting
